n,overlap,original,original_std,original_min,original_max,compose,compose_std,compose_min,compose_max,linq,linq_std,linq_min,linq_max,hashset,hashset_std,hashset_min,hashset_max,frozenset,frozenset_std,frozenset_min,frozenset_max,par_std,par_std_std,par_std_min,par_std_max,par_hashset,par_hashset_std,par_hashset_min,par_hashset_max,par_std_partition,par_std_partition_std,par_std_partition_min,par_std_partition_max,par_hashset_partition,par_hashset_partition_std,par_hashset_partition_min,par_hashset_partition_max
10,10,0.82,0.11,0.71,1.04,0.76,0.05,0.71,0.88,0.99,0.23,0.92,2.71,0.88,0.28,0.75,3.21,1.82,0.34,1.63,4.00,107.78,81.01,42.33,635.63,18.60,9.24,6.83,68.96,60.00,30.91,34.25,399.42,15.23,5.72,7.38,46.92
20,10,2.41,0.04,2.38,2.46,2.28,0.03,2.25,2.33,1.72,0.07,1.63,1.96,1.34,0.05,1.29,1.63,3.23,0.17,3.08,5.46,60.89,47.68,33.63,558.42,16.39,4.81,10.00,35.88,55.19,33.91,32.88,471.00,18.27,7.12,10.50,62.50
30,10,5.20,0.08,5.13,5.42,4.98,0.16,4.83,5.42,4.02,0.32,3.58,5.13,3.36,0.10,3.17,3.71,21.22,1.19,20.33,31.67,65.94,59.30,38.54,546.13,19.98,5.58,12.00,44.13,63.10,46.43,42.33,555.96,36.92,11.58,16.08,77.42
40,10,7.92,0.27,7.75,8.63,8.08,0.52,7.71,9.29,5.69,0.30,5.25,9.54,6.11,0.24,5.75,7.29,32.25,6.72,28.96,96.79,105.20,100.77,41.29,706.25,22.75,7.57,14.38,61.50,95.68,85.47,44.75,697.13,24.17,8.34,12.21,88.50
50,10,11.35,0.02,11.33,11.38,10.92,0.11,10.83,11.17,6.51,0.24,6.21,8.88,7.05,0.40,6.67,9.67,31.17,2.66,29.13,59.58,133.64,102.73,47.71,748.83,24.99,10.18,12.79,80.83,102.41,91.13,47.96,661.21,16.54,8.27,8.13,71.38
60,10,65.88,9.88,56.63,79.00,51.07,0.33,50.58,51.58,6.07,0.47,5.46,11.46,4.50,0.20,4.13,5.21,48.89,5.33,43.88,81.50,100.34,98.55,40.33,632.63,18.70,6.65,9.42,62.00,81.90,78.47,39.38,595.71,13.77,7.47,7.38,80.54
70,10,62.30,2.57,59.42,68.33,59.96,0.45,59.29,60.63,6.92,0.18,6.58,8.63,5.55,0.78,5.04,17.58,46.80,2.54,44.33,66.38,88.05,91.83,39.04,626.58,16.87,8.76,7.42,85.58,98.52,84.72,47.63,626.71,14.84,8.26,7.46,75.17
80,10,21.61,0.23,21.46,22.25,22.48,3.86,20.88,33.42,5.97,0.16,5.71,6.58,4.46,0.15,4.29,5.17,24.60,1.38,23.75,41.29,87.32,92.62,37.38,578.21,16.93,5.80,7.58,46.83,113.21,107.31,38.29,668.79,14.19,4.79,8.38,47.54
90,10,26.80,0.10,26.71,26.96,27.23,4.71,25.67,40.63,6.54,0.18,6.33,8.25,4.99,0.13,4.83,5.71,24.57,2.48,23.38,42.58,87.18,107.88,35.42,647.29,19.71,4.84,10.21,45.63,78.92,89.94,38.13,609.00,16.43,5.17,9.92,49.75
100,10,32.41,0.04,32.38,32.50,32.58,0.15,32.42,32.88,7.43,0.32,7.17,10.58,5.61,0.23,5.29,7.54,27.98,1.84,27.13,51.88,95.17,111.09,36.46,667.96,18.68,6.00,9.38,61.67,88.24,101.92,39.46,648.75,17.60,5.87,9.92,51.25
