n,overlap,original,original_std,original_min,original_max,compose,compose_std,compose_min,compose_max,linq,linq_std,linq_min,linq_max,hashset,hashset_std,hashset_min,hashset_max,frozenset,frozenset_std,frozenset_min,frozenset_max,par_std,par_std_std,par_std_min,par_std_max,par_hashset,par_hashset_std,par_hashset_min,par_hashset_max,par_std_partition,par_std_partition_std,par_std_partition_min,par_std_partition_max,par_hashset_partition,par_hashset_partition_std,par_hashset_partition_min,par_hashset_partition_max
10,10,1.43,0.29,1.31,2.23,1.42,0.32,1.24,2.19,2.06,0.67,1.81,5.63,1.65,0.64,1.46,5.58,4.54,1.27,3.70,9.32,1372.03,56.27,1245.96,1614.33,44.85,6.36,28.55,63.18,1360.22,48.85,1241.79,1494.25,44.19,5.65,32.78,66.30
20,10,7.05,0.24,6.91,7.72,6.90,0.61,6.57,8.62,4.11,0.57,3.69,6.35,3.71,0.59,3.08,5.97,14.47,1.06,13.13,16.85,1343.54,53.07,1218.85,1543.27,42.45,5.26,30.95,65.20,1332.52,51.34,1221.03,1501.08,41.85,6.27,28.51,63.71
30,10,12.17,0.71,11.91,14.20,11.97,0.05,11.93,12.10,4.19,0.63,3.88,6.25,3.80,0.62,3.50,5.83,58.32,18.57,43.16,102.65,1354.81,78.30,1238.06,2560.63,42.73,6.72,27.91,65.96,1353.18,73.88,1238.10,2650.62,39.23,5.76,27.81,63.27
40,10,22.10,0.77,21.72,23.90,22.03,0.62,21.74,23.70,5.25,0.63,4.92,7.42,4.70,0.66,4.35,7.50,35.22,9.97,24.12,47.90,1360.02,111.51,1235.55,2968.79,46.00,13.87,22.27,72.11,1361.09,88.25,1244.99,2728.57,45.66,7.02,30.00,65.07
50,10,32.78,0.68,32.54,34.72,32.62,0.03,32.58,32.65,7.10,0.76,6.60,9.13,6.56,0.77,6.09,8.60,27.11,4.46,23.51,45.45,1357.17,113.63,1235.73,2729.02,44.08,8.05,25.75,69.84,1369.68,121.11,1254.77,3023.94,47.79,7.48,32.15,68.63
60,10,46.90,0.05,46.87,47.02,47.46,1.44,46.96,51.56,8.26,0.84,7.69,10.25,7.40,0.75,6.90,9.48,33.74,6.66,29.75,56.95,1372.95,172.24,1249.16,3097.46,49.94,8.54,33.60,71.95,1374.16,129.41,1234.49,2804.52,39.11,4.96,30.06,56.09
70,10,62.80,0.09,62.75,63.01,63.73,2.21,62.81,69.89,9.60,0.69,9.05,11.63,8.50,0.74,7.99,10.56,38.70,10.24,31.76,61.93,1376.23,186.49,1238.80,3144.46,39.66,5.53,27.72,56.94,1379.39,142.99,1251.20,2970.25,40.83,4.84,32.06,61.14
80,10,92.57,0.05,92.51,92.65,92.69,0.06,92.65,92.84,11.80,0.91,11.00,13.80,10.45,0.90,9.79,12.39,41.92,8.72,36.80,76.67,1384.65,240.91,1236.75,3422.55,41.58,5.62,29.99,63.67,1382.39,184.44,1252.03,3206.56,39.51,4.37,31.99,61.18
90,10,104.79,0.03,104.76,104.87,104.88,0.03,104.85,104.94,12.30,0.99,11.33,14.22,10.89,0.97,10.05,12.76,39.90,7.08,35.62,66.90,1387.31,266.55,1237.34,3468.50,47.83,7.26,32.19,67.76,1388.41,205.08,1244.80,3303.38,43.13,4.23,34.13,63.77
100,10,127.75,1.66,127.19,132.47,130.97,10.35,127.55,160.41,14.10,1.01,13.21,16.00,12.38,1.00,11.54,14.22,45.86,4.24,42.62,63.11,1393.12,276.22,1237.16,3468.04,47.46,5.80,34.09,67.86,1393.96,241.85,1239.66,3397.17,49.13,6.90,36.13,71.56
200,10,511.80,3.59,509.98,521.48,304.14,1.23,303.45,306.97,22.11,4.42,14.61,27.25,14.19,0.84,12.91,15.34,70.05,2.24,66.45,76.45,1446.90,369.36,1261.66,3616.85,57.48,8.81,39.86,81.13,1412.19,264.54,1257.31,3454.25,56.63,6.16,44.27,72.02
300,10,1102.11,104.00,905.71,1161.18,673.36,2.37,671.23,677.49,24.37,1.61,22.27,32.04,20.68,0.51,18.89,22.14,99.52,1.11,97.19,104.64,1488.48,435.72,1259.01,3849.31,52.83,10.94,34.63,81.81,1426.26,349.80,1239.04,3768.33,66.69,7.72,49.65,85.48
400,10,1138.08,15.77,1126.88,1177.99,1131.68,23.06,1114.07,1193.06,29.77,0.97,28.11,32.31,26.52,0.88,25.25,29.08,121.74,2.10,119.61,131.75,1551.93,606.66,1251.13,5060.92,73.65,11.24,53.19,99.54,1469.33,393.88,1268.01,3804.44,77.22,13.14,51.52,111.75
500,10,1889.02,2.02,1886.72,1892.36,1895.92,5.18,1893.33,1910.36,39.96,1.04,38.04,42.07,35.50,1.07,34.19,38.41,232.24,2.12,228.94,239.55,1615.27,658.17,1286.07,4323.42,78.68,12.74,50.04,110.79,1491.78,449.74,1266.31,3964.77,96.16,12.94,67.90,123.23
600,10,2706.58,1.61,2704.60,2709.21,2715.97,1.26,2714.29,2717.83,50.35,1.08,48.13,54.06,43.03,0.79,41.96,46.10,531.80,2.92,526.06,553.74,1686.11,820.94,1278.63,5184.16,69.24,5.77,54.09,92.94,1523.98,518.10,1259.79,4099.26,106.04,13.27,82.49,140.09
700,10,3500.49,52.07,3426.83,3553.43,3434.43,23.40,3414.26,3497.11,53.38,1.58,50.66,58.67,47.13,1.14,45.65,50.37,759.16,18.10,736.07,830.84,1738.64,849.54,1303.90,6315.53,134.90,6.64,120.70,153.04,1562.37,556.57,1281.77,4359.98,114.23,13.20,83.07,149.11
