n,overlap,original,original_std,original_min,original_max,compose,compose_std,compose_min,compose_max,linq,linq_std,linq_min,linq_max,hashset,hashset_std,hashset_min,hashset_max,frozenset,frozenset_std,frozenset_min,frozenset_max,par_std,par_std_std,par_std_min,par_std_max,par_hashset,par_hashset_std,par_hashset_min,par_hashset_max,par_std_partition,par_std_partition_std,par_std_partition_min,par_std_partition_max,par_hashset_partition,par_hashset_partition_std,par_hashset_partition_min,par_hashset_partition_max
10,10,1.69,2.40,0.84,8.51,0.89,0.04,0.86,1.00,0.97,0.83,0.73,5.38,0.85,0.81,0.62,5.69,2.73,1.51,1.72,7.62,656.55,58.30,523.05,957.57,18.59,2.66,12.94,28.11,422.30,26.42,362.51,507.52,14.02,1.97,9.79,20.22
20,10,3.41,0.11,3.35,3.70,3.58,0.23,3.48,4.24,1.01,0.14,0.92,1.65,0.86,0.11,0.77,1.33,4.19,0.27,3.79,5.95,414.80,24.66,356.88,498.09,11.70,1.70,7.95,22.02,410.48,25.97,349.65,499.55,12.98,1.89,9.27,18.92
30,10,22.74,5.93,16.85,29.24,41.41,65.59,20.16,228.08,2.04,0.16,1.79,2.78,1.86,0.18,1.54,2.45,23.99,10.93,11.45,51.66,413.68,31.82,355.71,765.34,13.10,1.96,8.92,22.39,411.27,24.63,350.01,605.22,13.21,1.46,10.66,18.23
40,10,5.90,0.26,5.76,6.62,6.05,0.05,5.91,6.08,1.72,0.17,1.62,2.42,1.50,0.16,1.39,2.17,12.59,0.49,11.67,15.98,412.39,35.71,357.69,797.44,12.99,1.81,8.95,19.87,415.72,34.75,359.77,769.19,12.95,1.89,9.92,23.70
50,10,8.79,0.45,8.55,9.91,9.35,0.23,9.25,9.99,2.05,0.16,1.92,2.82,1.81,0.17,1.65,2.46,14.04,6.87,9.93,36.72,413.49,44.22,358.39,844.97,13.73,2.19,9.35,23.05,413.60,31.90,356.30,707.05,14.82,1.66,11.83,23.84
60,10,12.15,0.20,12.04,12.69,12.88,0.14,12.62,13.21,2.49,0.18,2.33,3.26,2.10,0.17,1.93,2.86,16.71,6.03,13.22,45.84,416.01,47.57,356.34,840.83,13.89,2.37,9.38,24.12,415.89,37.70,356.05,782.58,15.31,1.46,12.14,19.47
70,10,17.58,1.02,16.99,20.42,16.60,0.37,16.35,17.27,2.83,0.18,2.47,3.49,2.41,0.16,2.23,3.04,18.29,10.12,14.43,79.16,415.35,51.18,359.67,848.94,14.97,1.92,9.89,21.54,417.40,39.53,355.89,772.42,16.26,1.66,12.69,21.79
80,10,22.49,0.68,21.71,23.14,22.84,0.73,21.56,23.60,3.28,0.21,3.06,3.81,2.89,0.20,2.67,3.51,20.51,11.82,16.68,84.46,413.54,61.35,349.33,910.80,13.98,2.31,9.63,23.67,417.06,48.07,358.65,859.27,17.82,1.57,14.22,22.08
90,10,28.71,0.07,28.53,28.79,26.17,0.19,26.05,26.61,3.78,0.24,3.43,4.65,3.18,0.22,2.89,3.71,19.76,9.33,16.54,94.81,415.88,61.30,356.74,899.13,14.01,2.10,10.10,23.16,396.42,44.51,341.19,775.41,18.10,1.96,14.14,24.46
100,10,33.14,1.89,30.67,36.04,31.73,0.02,31.70,31.75,4.02,0.21,3.77,4.53,3.42,0.19,3.20,3.94,21.67,9.95,18.94,111.75,402.23,67.07,338.74,899.52,13.42,1.66,10.19,19.76,396.16,46.77,334.98,817.18,18.51,1.88,14.55,23.46
