n,overlap,original,original_std,original_min,original_max,compose,compose_std,compose_min,compose_max,linq,linq_std,linq_min,linq_max,hashset,hashset_std,hashset_min,hashset_max,frozenset,frozenset_std,frozenset_min,frozenset_max,par_std,par_std_std,par_std_min,par_std_max,par_hashset,par_hashset_std,par_hashset_min,par_hashset_max,par_std_partition,par_std_partition_std,par_std_partition_min,par_std_partition_max,par_hashset_partition,par_hashset_partition_std,par_hashset_partition_min,par_hashset_partition_max
10,10,1.00,0.18,0.90,1.50,1.11,0.38,0.80,1.90,1.38,0.12,1.30,2.10,1.08,0.13,1.00,1.70,2.68,0.27,2.40,3.40,61.31,45.26,24.90,436.70,15.96,5.41,7.60,45.10,77.20,58.40,24.80,392.70,16.11,5.72,10.70,41.50
20,10,3.00,0.30,2.80,3.70,3.19,0.81,2.90,5.50,5.44,0.29,4.90,7.00,4.28,0.23,4.00,5.20,7.88,0.44,7.30,11.70,77.22,69.98,25.60,420.00,14.20,3.54,9.60,47.30,75.45,67.72,28.60,409.90,20.26,4.43,12.30,45.90
30,10,5.59,0.26,5.40,6.30,5.31,0.07,5.20,5.40,6.50,0.39,6.20,10.00,5.69,0.28,5.40,9.10,40.01,1.02,38.90,46.50,74.73,73.56,27.80,462.80,16.80,5.83,11.30,36.20,98.30,82.73,30.70,487.70,18.91,4.62,12.70,30.30
40,10,9.84,0.10,9.70,10.00,9.62,0.08,9.50,9.80,10.59,2.90,8.00,15.90,7.30,0.36,7.00,11.00,47.39,1.31,46.30,62.10,91.95,83.04,30.10,447.50,19.78,10.03,12.30,54.30,87.45,73.73,35.60,513.30,26.41,3.71,17.00,50.10
50,10,24.25,6.95,15.30,34.40,13.70,0.07,13.60,13.80,7.63,2.18,5.30,14.70,5.68,1.23,4.70,9.50,39.87,3.86,37.50,55.70,56.89,68.51,24.20,428.20,17.88,2.92,12.40,28.50,59.68,71.65,24.80,419.20,14.93,3.06,11.10,25.00
60,10,19.13,0.08,19.00,19.20,21.31,6.88,19.00,40.90,3.95,0.25,3.70,4.60,4.42,0.26,4.10,5.10,47.89,5.40,44.80,85.80,59.05,78.09,26.10,427.20,15.35,3.03,10.70,30.30,68.80,79.72,26.90,524.50,16.61,2.99,11.60,31.60
70,10,25.09,0.39,24.80,25.80,25.65,2.48,24.80,32.70,4.80,0.29,4.50,5.50,5.31,0.29,5.00,6.10,63.31,3.38,59.40,78.20,57.92,78.37,24.40,446.50,16.70,2.76,11.30,42.20,53.20,69.62,24.00,424.30,17.65,3.36,11.10,31.30
80,10,34.67,1.80,33.90,39.70,35.57,4.97,33.90,49.70,5.46,0.31,5.20,6.20,6.37,1.29,5.50,10.80,56.08,9.18,42.50,123.30,50.18,74.22,19.70,401.40,13.49,2.83,7.70,23.30,49.17,73.19,20.10,395.20,15.46,3.71,8.60,40.60
90,10,64.46,14.32,42.10,90.70,41.55,0.48,41.30,42.90,6.02,0.34,5.70,7.00,6.18,1.33,5.20,10.90,42.28,1.90,40.90,71.30,58.74,78.86,21.70,470.20,13.49,3.57,8.00,22.80,52.39,74.35,21.60,406.20,15.12,2.43,9.20,22.10
100,10,51.48,1.53,50.80,55.80,51.52,1.41,50.80,55.30,6.83,0.28,6.50,7.60,6.32,0.29,6.00,8.30,50.84,1.15,49.70,58.30,63.55,77.49,24.90,552.10,13.72,3.67,8.60,23.20,51.21,69.41,22.20,399.00,15.67,1.89,9.70,22.10
