mac_1,mac_2,mac_3,mac_4,mac_5,mac_6,mac_7,mac_8,mac_9
3854.58,7293.67,18041.17,3754.21,4177.38,3890.38,3533.67,16692.13,3771.29
3770.21,7412.71,17856.42,3587.33,3827.08,3804.21,3520.92,16045.63,3721.13
3662.50,7199.79,17840.58,3649.13,3979.46,3735.67,3484.13,16154.25,3878.50
3689.08,7127.13,18197.13,3491.71,3789.58,3799.25,3676.17,15185.63,4102.33
3821.75,7094.88,18622.21,3768.08,3714.42,3766.13,3826.54,15997.21,4001.54
3791.54,7097.04,18306.79,3724.25,3572.46,3775.21,3582.83,15596.04,3828.83
3582.46,7107.13,17812.83,3754.46,3657.96,3658.92,3623.63,15566.79,3777.25
3720.29,8488.17,18254.54,3830.83,3721.46,4005.13,3590.13,16212.50,3717.63
3672.42,7228.92,18967.67,3613.13,3717.54,3832.58,3657.79,15815.08,3900.50
3670.58,7649.63,18348.21,4013.38,3690.88,3770.58,3680.54,16905.13,3768.42
3384.13,7128.33,17739.79,3741.50,3672.79,3964.29,3692.29,16294.00,3869.67
3456.13,7140.46,17783.46,3932.83,3803.83,3881.25,3491.21,15545.08,4289.42
4086.38,7347.21,17942.67,3603.00,4717.21,3838.92,3731.21,16530.04,3835.79
3927.67,7147.17,17772.17,3907.38,3565.00,4162.25,3469.79,21478.92,3786.13
3608.92,7055.71,17887.71,3601.88,3742.83,3648.92,3653.33,16421.42,3839.96
3798.00,7291.29,18359.67,3832.54,4075.25,4095.00,3545.29,15655.42,3880.75
3801.88,7074.50,18058.00,3508.00,3850.33,3749.54,3485.38,16017.96,3696.79
4199.88,7125.00,18530.00,3525.50,3564.08,3821.71,3526.79,15707.17,3799.00
3779.13,6866.79,31183.33,3746.83,4004.92,3920.08,3561.38,16737.63,3942.38
3528.63,7104.21,18691.88,3901.50,3776.38,3797.33,3574.38,16002.54,3889.17
3729.17,8819.92,18451.04,3522.33,3813.08,3826.83,3595.21,15723.21,3808.92
3669.46,7506.21,17895.04,3706.92,3778.33,4171.04,3642.38,15988.17,3784.67
3879.00,8014.63,18212.29,3573.88,3758.92,3721.88,3630.25,16289.63,3875.58
3548.17,7077.63,18085.13,3760.58,3757.17,3864.88,3625.83,16083.00,3750.75
3950.96,7368.42,18053.75,3683.33,3689.92,3859.42,3626.54,15165.17,3780.21
3854.63,7181.29,17982.58,3572.88,3723.08,3686.25,3530.42,14999.33,4265.88
4061.83,7333.46,17701.33,3644.50,3940.00,4275.71,4136.25,16395.71,3756.71
3916.96,7600.33,17975.50,3444.75,3878.75,3576.50,3655.79,16042.21,3758.54
3607.58,6939.00,17959.50,3649.38,3927.75,3778.63,3663.63,16317.29,3791.96
3743.46,7925.04,17662.96,3563.63,3669.63,3443.04,3599.25,15608.88,3898.88
3697.25,7364.04,17743.88,3669.25,3530.08,3572.71,3609.67,16114.63,3841.67
4040.79,7478.33,18937.00,3631.88,4039.17,4591.17,3447.17,16212.83,3820.83
9534.21,7739.13,19680.33,15310.42,3874.58,4058.38,3521.83,15042.54,3785.63
4052.75,7302.21,19412.79,3595.54,3819.08,3626.38,3571.21,15604.79,3963.42
3995.96,7765.96,20610.67,3505.42,3799.92,4223.33,3616.63,15834.33,3792.13
4205.79,7388.00,20543.42,3991.29,3862.79,3560.54,3746.92,15762.75,3877.25
3866.00,7689.25,20854.67,3906.08,3738.71,3577.38,3771.46,15065.54,3770.42
4054.58,7489.79,19141.79,4054.88,3831.33,4235.67,3660.17,15824.96,3907.33
3734.54,7018.83,19215.46,3756.46,3817.46,3528.38,3665.04,15239.67,4302.58
3971.92,7716.75,20591.13,3684.58,3741.46,3603.75,3706.25,15222.25,3956.46
3963.33,7270.00,19201.21,3867.75,3735.50,3931.29,3645.75,15704.25,4015.79
3805.13,7523.67,19293.67,3815.96,3801.29,3950.13,3801.67,15250.88,3478.79
3652.46,7392.50,18645.58,3753.46,4083.83,3669.54,3762.83,15362.67,3515.46
3573.88,7078.33,19085.08,3766.92,3733.54,3813.38,3699.71,15668.25,3567.38
4139.33,7515.42,19384.13,3764.79,3832.50,3666.04,3747.71,15913.13,3552.88
3506.75,6961.71,19146.00,3533.71,3739.92,3735.58,3694.50,15542.54,4129.42
3592.75,7767.54,20111.75,3529.79,3655.71,4077.46,3626.46,15496.25,3673.63
4285.83,7798.38,19472.29,3521.75,3704.25,4098.96,3786.63,15119.54,3873.88
3720.79,7489.79,19040.50,3583.17,3658.92,3944.04,3685.42,16050.17,3686.79
3778.46,7487.08,18088.08,3906.00,3700.50,3828.29,3702.46,15192.42,3561.50
3647.54,7533.42,18742.38,3804.96,3735.67,3694.17,3658.00,16528.21,4462.54
3673.54,7444.88,19149.75,4180.04,3767.83,3780.58,3744.13,16083.67,4605.29
3591.17,7673.67,19173.29,3611.83,3714.25,3950.83,4107.71,16170.75,4030.50
3848.21,7155.63,18947.04,3818.29,3708.88,3996.04,3769.33,15965.00,3819.42
3994.08,7657.63,19031.08,3838.75,3959.67,3752.38,3688.58,16023.71,3562.13
3907.46,7465.17,18655.04,3990.71,3785.75,3665.92,3737.00,15339.33,3583.08
3968.96,7019.92,18915.71,3682.54,4187.58,3906.75,3640.46,29417.42,4273.67
4282.50,7595.63,18610.50,3810.21,3856.17,3820.67,3619.92,18385.25,3594.38
3620.33,6989.96,18236.38,3751.75,3703.71,3672.54,3694.21,16850.67,3911.75
3539.67,7548.54,18524.13,3632.83,3664.33,3851.88,3597.00,15940.33,3955.96
3579.42,7176.17,18380.17,3717.71,3733.21,3657.75,3733.04,15691.75,3901.75
3990.92,7752.33,19301.21,3575.96,3672.17,3775.75,3730.50,14880.67,3818.83
3903.33,7277.63,18748.00,3555.46,3774.50,3895.58,3784.58,16091.33,3993.08
3495.33,7286.21,17899.63,3790.92,4542.42,3853.25,3614.00,15464.67,3681.29
3393.71,7288.17,19498.21,4084.00,3711.50,3705.33,3753.04,15486.67,4054.42
4161.50,7373.71,18500.79,3815.42,3779.29,3889.75,3737.63,16655.54,4140.38
3730.92,7205.38,18007.08,3806.79,4597.00,3483.33,3805.42,16091.25,3734.29
3692.92,7955.58,18400.92,3669.67,3626.04,3430.88,3821.00,16429.96,3995.92
3866.17,7590.54,17561.75,3852.50,3778.17,3655.92,3595.21,15758.17,3859.96
3848.00,6903.25,17604.58,3651.96,5133.96,3724.88,3919.38,16334.67,3958.21
3694.79,7530.96,17972.67,3778.00,4046.50,3628.04,3658.13,16121.67,3957.58
4088.46,7463.21,29853.29,3955.79,3594.96,3527.96,5565.29,16380.21,4040.21
3728.75,7434.63,18596.79,3650.25,5347.00,3453.75,3728.38,15941.67,3920.25
4033.33,7579.00,18200.00,3976.83,3531.79,3619.38,3654.50,16279.67,3775.92
4644.54,7775.79,18513.33,3530.38,3479.29,3928.17,3837.92,15995.21,3918.88
4111.25,7465.42,18502.42,3579.33,3742.92,3446.58,3685.79,15877.79,3864.75
4125.17,7637.63,18303.25,3545.13,3798.38,3415.25,3692.08,16763.25,4018.96
3893.33,7759.88,17412.29,4380.46,4170.25,3605.58,3509.63,16239.79,3887.00
3850.42,7924.42,18007.00,3851.21,3632.00,3546.46,3497.25,16185.96,4266.13
3963.04,8900.38,17721.79,3828.38,4011.96,4712.21,3912.83,16369.54,4276.38
5072.38,7176.79,17809.88,3784.13,3970.92,4067.79,3675.13,16014.75,3687.92
4563.71,7681.08,17483.33,3718.58,3946.33,3453.08,3654.29,16116.33,3671.13
3865.54,7353.88,17622.00,3666.50,4060.75,3672.42,3669.96,16535.71,3526.75
5724.75,18766.46,17806.63,3759.08,3731.58,3745.29,3576.71,16261.42,3616.08
4600.50,7647.92,18278.33,3869.54,3763.58,3812.75,3832.21,15888.33,3988.88
5436.25,7060.25,17516.58,3629.88,4544.58,3517.21,3597.67,15568.83,3995.50
4011.71,7591.67,18183.17,3525.96,3965.50,3516.42,3441.25,15653.33,3836.92
4686.33,7818.29,17922.42,3459.54,3594.63,4299.29,3719.08,16052.13,3999.08
3623.92,7406.79,17875.38,3857.92,3957.67,3456.71,3783.92,16009.50,3834.71
3564.67,7357.46,17640.88,3488.21,3573.75,3639.92,3787.08,16089.79,3853.00
3864.17,7352.00,17931.13,3554.25,3568.54,3484.33,3778.50,15827.58,3926.29
4005.42,7710.79,18012.29,4186.46,3811.38,3528.75,3734.75,16357.33,4162.92
3891.17,7374.96,17767.21,3804.96,3874.58,3487.75,3879.46,15886.54,3784.25
3915.08,7271.83,17856.00,3771.17,3737.96,3490.83,3699.63,15169.13,3853.63
3793.63,7558.38,17290.54,3785.00,3719.46,3895.71,3700.00,16295.04,3908.08
3696.00,7119.71,18021.96,3618.42,3689.96,3883.17,3735.75,15730.58,3932.17
3833.75,7249.00,18626.67,3831.92,4075.29,3480.92,3684.58,15882.29,3881.88
4114.88,7300.13,18307.67,3826.58,3669.54,3487.58,3815.75,15946.79,3934.83
3725.63,7258.96,17830.92,3533.79,3846.29,3824.92,3768.00,15991.00,3557.46
3872.17,7222.58,18347.92,3372.88,3737.50,3465.50,3589.92,17135.58,3655.29
3877.25,7086.58,17231.38,3522.17,3819.33,3467.33,3643.75,15204.00,4074.88
3543.88,7262.04,17738.21,3731.96,3919.46,4207.75,3694.58,16062.25,3945.63
3733.63,7107.63,17436.17,3754.29,3886.79,3479.38,3676.96,15873.71,3560.71
