mac_1,mac_2,mac_3,mac_4,mac_5,mac_6,mac_7,mac_8,mac_9
5704.49,11976.11,15692.78,3260.73,3133.86,3153.13,3511.31,6480.16,3179.07
5210.01,11456.37,15714.03,3100.73,3139.74,3429.95,3106.46,6421.41,3527.77
5282.98,10347.30,15832.21,3235.16,3261.36,3254.95,3215.79,6477.04,3148.18
8563.71,9397.72,14979.71,3405.06,3316.67,3346.57,3182.97,6873.60,3126.31
5626.62,9179.49,15324.19,3116.36,3116.05,3401.46,3150.21,6518.71,4814.59
5226.10,9500.12,15284.13,3492.50,3158.29,3144.07,3598.55,10473.66,3166.72
5440.32,9899.49,14822.41,3213.60,3126.41,3564.07,3094.69,7873.71,3241.78
5172.82,11730.90,16899.24,3131.25,3304.59,3272.56,3380.53,7701.73,3195.84
5020.32,9719.23,14959.65,3387.35,3641.10,3145.47,3134.69,7946.99,3465.84
5813.03,9072.77,15872.83,3135.68,3238.70,3546.83,3066.46,7626.42,3089.48
5347.30,9632.93,15540.80,3113.03,3519.80,3303.60,3249.95,7746.78,3209.43
5323.60,9259.80,16116.84,3135.68,3323.03,3383.08,3149.48,7555.43,3296.67
8983.19,9064.02,15423.77,3108.65,3437.92,3216.83,3274.95,7377.14,3192.66
5854.75,9221.05,15753.61,3318.08,3118.29,3372.30,3162.35,8205.17,3311.05
5100.16,9348.40,16115.96,3715.58,3226.05,3156.31,3128.18,7456.10,3109.90
5723.13,9377.93,15838.77,3749.95,3249.43,3239.64,3556.20,7763.40,3179.80
5059.02,9534.39,16883.67,3691.05,3123.65,3384.69,3191.15,7245.74,3538.23
5159.49,9407.98,15328.93,3797.14,3144.59,4171.31,3364.48,7629.70,3169.27
5646.93,9657.72,15860.38,4164.28,3133.23,3554.95,3864.28,7340.43,3190.58
5318.65,10111.94,15068.25,3945.11,3740.00,3689.43,3612.09,7964.28,3701.41
5126.41,9533.76,15196.42,3746.93,3884.33,3632.04,3716.05,8246.26,3246.98
5492.92,9312.93,14884.08,4164.54,3921.05,3715.01,3722.66,7923.92,4606.41
5220.11,9882.04,15463.04,6931.42,4131.26,3996.72,3718.23,6711.05,3817.09
4822.98,9486.78,15590.59,3782.14,3871.05,3711.57,3214.85,7847.04,3564.22
5351.62,11769.55,16326.32,3672.14,3933.96,3978.96,5138.55,6883.08,3379.48
5584.96,9179.18,17918.72,3886.31,3853.18,3272.92,3436.41,6620.58,3592.82
5010.63,9959.44,15352.05,3705.01,3558.29,3124.95,3082.92,6748.13,3139.95
5130.22,9817.15,15569.50,3841.15,3180.84,4716.52,3239.43,6376.67,3378.86
5657.51,9211.73,15508.61,3597.71,3166.93,3261.98,3710.16,6390.16,3131.36
5141.41,9687.88,14953.77,3603.60,3070.84,3317.04,3246.05,6442.66,3057.09
5235.11,10065.90,15253.72,3124.28,4607.25,3187.76,3339.43,7202.56,3256.83
5659.17,9467.72,15373.98,4549.75,3286.41,3118.44,3221.15,6543.39,3139.33
5052.45,9064.02,15419.60,3341.10,3221.20,3216.83,3124.07,6786.26,3330.00
5223.34,9364.28,16671.01,3214.12,3260.47,3111.31,3356.78,6462.14,3209.17
5333.91,9351.00,16429.55,3086.83,3144.85,3333.49,3244.69,6454.59,3163.81
5122.09,8861.63,15773.35,3157.66,3527.30,3178.18,3303.44,6762.67,3493.55
5914.49,9375.27,15233.77,3602.24,3297.04,3524.02,3201.78,7038.45,3172.61
6644.80,9462.56,15518.30,3172.45,3117.14,3224.80,3109.59,6636.52,3360.99
7139.85,9139.23,15478.04,3132.19,3525.32,3131.10,3393.03,7214.80,3193.13
9171.47,9304.80,16010.65,3126.46,3133.08,3353.86,3257.61,7570.32,4532.14
6720.74,9527.98,15923.51,3181.67,3312.40,3257.50,3246.72,7286.47,3362.66
6772.82,8744.44,15625.70,3367.56,3237.19,3390.42,3248.96,7556.73,3375.11
6615.63,11373.56,14939.97,3135.73,3157.56,3240.52,3093.18,7860.48,3135.84
7174.23,9279.70,17663.46,3243.49,3373.60,3367.30,3346.05,7845.22,3145.11
7063.86,9606.05,15452.57,3172.14,3260.42,3119.95,3289.54,7919.65,3452.30
6269.85,9414.02,15061.95,3111.72,3391.46,3253.91,3272.97,8084.33,3167.66
6654.49,9046.21,15249.92,3747.19,3206.41,3267.14,3226.62,7950.22,3360.37
6898.97,9531.84,15152.52,3112.04,3368.03,3095.42,3317.24,8035.95,3125.42
6008.34,9424.39,15400.28,3219.07,3104.12,3422.50,3199.17,7554.75,3131.15
5633.18,9178.50,15849.14,3172.56,3267.19,3168.91,3227.82,8101.78,3125.21
5432.82,9933.50,15852.83,3082.71,3258.60,3239.64,3376.25,8237.72,3168.86
5411.00,9361.05,15545.90,3254.95,3147.71,3295.94,3183.91,7904.59,3385.16
5629.75,9280.79,17296.64,3161.88,3138.18,3116.05,3400.99,7509.64,3134.43
4936.10,9669.39,15283.46,3366.05,3085.84,3143.91,3142.82,7723.71,3162.35
5002.61,9311.05,15621.17,3140.53,3281.83,3076.83,3243.55,7956.47,3438.13
5587.61,9678.24,14937.00,3068.55,3369.33,3270.37,3333.60,7905.11,3221.83
5626.41,9225.12,15283.40,3370.79,3127.61,3378.13,3255.99,7616.57,3123.39
