mac_1,mac_2,mac_3,mac_4,mac_5,mac_6,mac_7,mac_8,mac_9
238.09,449.20,854.63,182.77,183.99,184.98,182.64,754.78,199.34
234.92,455.43,946.75,182.61,183.42,182.88,285.49,835.42,196.07
338.84,449.28,842.76,186.02,188.11,182.09,185.62,830.77,197.40
232.31,453.54,842.44,181.73,188.71,188.56,181.55,791.81,203.96
232.02,540.01,842.95,181.95,183.03,185.41,181.39,842.80,198.58
232.52,447.75,849.73,181.73,183.44,181.18,180.88,868.73,199.66
236.04,450.23,938.94,181.43,184.09,182.43,186.46,930.90,195.01
232.34,445.59,846.82,184.84,183.34,181.14,181.54,842.99,195.00
233.90,451.77,840.17,188.99,340.87,184.88,183.28,831.75,204.07
229.21,446.45,851.15,183.19,185.91,184.03,313.96,838.20,196.58
241.51,453.07,953.20,186.67,183.63,181.63,184.00,1251.04,194.62
232.20,446.40,854.94,184.45,182.92,184.23,188.05,823.18,200.69
226.10,545.40,846.74,182.30,187.86,185.81,183.08,762.29,195.94
233.28,446.29,845.93,287.93,186.09,185.75,185.57,788.69,194.76
235.91,447.91,847.48,182.37,182.50,193.09,181.84,1312.13,204.31
229.72,445.83,935.34,186.66,182.48,181.67,182.44,799.57,198.17
228.36,442.96,845.28,181.21,181.69,185.19,187.25,759.85,202.05
229.07,448.86,844.16,183.57,182.49,186.52,189.08,924.73,196.91
229.49,446.88,843.23,182.07,188.26,185.38,180.90,753.38,195.25
345.44,453.86,849.35,181.46,184.14,295.89,183.10,1158.25,202.74
227.74,443.97,946.68,181.50,182.77,189.46,181.74,1134.87,196.53
234.85,535.74,848.78,181.49,182.47,185.95,181.05,855.75,200.13
233.38,443.35,846.22,181.19,182.14,187.01,294.49,783.99,202.66
234.44,449.95,853.63,185.01,187.80,183.71,181.51,1218.71,195.84
229.52,443.95,940.29,182.56,192.18,190.55,184.56,828.21,556.30
228.77,449.56,847.11,180.83,182.08,186.64,181.46,802.43,205.57
227.43,446.32,842.11,185.71,181.88,183.66,180.67,757.58,195.20
232.85,443.26,842.54,181.23,182.23,181.92,186.11,861.92,202.63
236.37,452.87,853.28,185.82,182.43,183.97,181.02,981.60,196.66
225.76,692.57,844.40,187.41,320.97,190.42,181.28,813.29,195.56
228.73,462.17,845.94,183.17,183.04,188.18,182.24,842.40,195.21
236.51,457.81,851.23,184.51,181.37,181.05,185.85,816.07,197.48
228.62,448.96,845.47,184.64,181.80,182.04,183.84,788.36,201.42
230.42,450.92,858.67,183.15,185.55,181.72,181.32,794.98,196.72
229.32,450.31,944.71,293.64,182.70,183.62,180.52,788.54,195.15
232.70,447.30,924.75,187.53,181.83,186.02,180.30,1007.62,195.89
333.74,451.37,855.56,186.74,181.92,181.27,181.42,811.60,196.15
226.41,446.62,987.53,182.28,183.31,180.79,184.54,810.05,203.78
233.08,537.70,900.12,181.20,182.94,184.02,184.45,853.68,196.67
230.84,441.87,861.56,185.60,186.79,182.35,180.65,1307.99,196.43
234.37,455.15,855.13,182.38,182.99,292.38,184.70,858.43,198.33
228.83,444.47,853.04,182.57,182.80,183.93,181.44,825.60,195.57
229.84,446.85,853.60,182.92,182.44,181.38,181.36,1367.45,397.87
229.77,444.82,955.66,182.69,181.00,181.84,289.94,819.42,201.85
237.75,444.59,853.68,185.77,184.93,183.61,186.65,823.25,194.37
228.19,448.69,849.09,181.89,190.69,186.79,181.87,781.63,195.80
228.85,447.76,856.65,182.33,183.32,186.03,181.40,825.32,199.83
228.80,537.58,906.22,187.56,182.45,181.09,181.57,774.16,197.92
232.22,451.24,858.22,184.19,184.55,180.49,184.81,822.70,216.23
231.98,450.09,851.10,183.65,183.92,181.52,182.20,792.01,195.02
228.47,446.25,848.56,189.80,245.24,184.14,183.07,833.05,195.62
229.11,452.11,852.73,182.63,182.48,184.94,185.09,846.19,200.48
332.37,450.01,925.41,183.23,181.57,183.12,181.62,834.09,198.73
244.14,451.53,855.96,183.47,182.96,181.96,183.93,1045.03,195.97
229.94,448.50,847.46,183.58,183.23,181.03,181.08,805.62,197.97
228.61,442.96,853.38,287.84,186.56,181.30,181.87,833.52,198.35
234.97,537.16,944.22,186.40,184.11,186.66,182.95,841.23,202.01
232.33,444.09,850.11,188.77,182.02,186.35,181.41,772.87,198.92
228.05,449.17,848.02,181.79,182.25,182.12,180.84,775.04,200.10
228.59,441.94,844.88,181.44,182.29,182.39,187.79,991.17,197.29
234.63,449.32,866.89,186.40,187.64,183.47,180.23,836.83,196.13
233.99,442.55,943.97,181.82,183.00,289.33,184.41,1144.12,428.62
230.27,450.66,850.88,182.30,185.98,186.82,181.86,812.56,202.25
230.26,440.61,845.08,180.88,183.33,181.64,181.60,789.33,182.31
227.65,545.83,842.86,182.21,183.97,181.66,286.00,1225.03,177.09
233.48,454.13,850.51,183.64,185.09,183.53,186.39,1147.71,179.81
230.98,449.11,943.32,182.64,188.03,186.48,182.61,846.26,177.26
244.16,447.94,851.82,181.81,183.38,187.50,182.53,796.22,176.99
230.42,448.89,844.07,182.28,185.70,181.01,180.01,767.04,175.81
330.63,454.69,853.70,182.72,183.46,180.78,183.99,801.44,176.99
232.08,447.50,945.83,181.11,183.92,181.02,181.51,909.57,176.49
230.43,449.62,849.88,191.13,288.90,183.80,181.60,811.93,181.01
228.18,444.72,848.79,182.20,187.33,183.60,181.14,1086.79,177.96
233.83,537.62,845.73,181.27,183.29,180.67,181.70,1100.82,178.28
227.72,448.49,854.20,186.97,183.57,180.84,181.14,873.46,175.32
233.71,450.20,855.78,183.14,183.78,180.85,185.37,1074.45,177.85
231.66,449.93,847.57,289.17,185.63,181.67,180.31,823.32,183.42
228.28,446.98,845.63,185.93,184.12,187.33,180.26,783.86,177.68
232.79,443.39,849.11,181.79,184.52,186.77,184.25,1296.83,383.79
227.97,447.06,947.46,187.16,183.15,181.99,180.36,1130.82,199.41
228.97,445.43,852.36,182.33,183.98,182.93,183.79,765.32,178.67
229.78,443.80,843.33,187.68,190.73,181.76,184.50,831.82,274.35
233.36,539.90,843.78,182.37,184.29,286.94,181.04,823.71,179.89
244.72,442.51,862.31,180.55,182.82,186.44,180.37,783.69,177.52
232.78,455.31,943.25,180.99,183.62,182.79,179.15,889.79,175.36
232.25,449.78,844.08,182.65,183.07,183.45,180.02,771.48,175.59
329.96,455.02,845.36,182.42,183.44,182.30,287.29,835.41,181.62
232.37,452.59,842.62,189.70,192.35,186.36,180.70,821.31,176.93
226.80,448.84,856.23,183.94,183.46,187.99,179.81,794.29,177.60
227.81,443.66,1033.45,187.32,182.46,181.96,180.12,777.10,178.06
234.02,534.00,846.82,181.99,182.31,181.98,179.61,895.75,179.44
236.03,448.25,841.82,182.98,183.21,180.95,183.68,1057.82,179.36
228.10,450.75,855.18,191.30,288.60,181.47,179.85,840.11,181.50
228.41,446.18,945.37,183.55,187.73,186.72,184.48,806.65,178.32
