mac_1,mac_2,mac_3,mac_4,mac_5,mac_6,mac_7,mac_8,mac_9
146.33,240.29,523.89,116.72,114.50,109.12,104.58,587.74,106.72
161.14,249.52,528.03,112.54,113.02,109.08,105.97,654.82,111.22
141.94,239.34,530.02,117.26,112.75,103.01,105.01,682.66,112.85
147.94,224.29,725.93,335.78,110.80,107.78,105.38,682.74,114.79
133.04,228.53,525.88,114.10,113.20,103.29,105.71,638.68,107.41
133.53,228.08,522.07,113.04,112.83,136.30,112.12,898.06,110.94
136.46,241.68,527.29,112.70,112.93,148.28,107.36,809.61,107.85
133.93,224.34,525.99,111.97,116.95,149.42,105.66,620.42,111.73
137.03,221.81,529.23,112.08,112.83,135.85,108.45,704.49,108.83
146.34,225.24,527.80,112.09,113.18,104.97,109.74,597.55,112.48
139.80,541.35,720.56,118.41,112.18,108.36,104.66,898.81,108.07
139.56,236.80,525.91,115.86,112.29,108.42,107.96,588.23,114.04
137.91,220.45,525.92,112.89,112.86,106.71,104.78,644.22,112.72
143.12,228.89,518.36,112.53,112.24,116.49,109.16,652.85,111.06
136.42,222.52,527.36,113.74,112.77,106.57,359.15,1841.33,112.99
133.63,220.75,529.53,114.94,113.48,105.55,112.88,679.64,108.31
173.52,223.80,521.90,112.61,117.14,106.32,105.01,601.60,112.85
132.41,221.83,698.98,111.22,114.24,104.22,103.23,714.86,107.08
134.97,231.32,521.99,119.44,112.44,104.05,103.83,656.19,112.61
141.51,227.08,525.07,114.27,113.94,103.82,103.37,698.23,108.71
132.41,224.02,516.91,114.16,113.96,103.72,103.73,811.11,116.41
139.03,265.45,523.06,111.87,116.15,104.68,109.01,900.62,112.79
175.50,274.28,520.53,113.42,113.46,105.38,104.37,957.15,112.96
457.71,227.30,526.85,112.99,116.36,113.07,103.46,746.17,109.03
132.10,229.25,520.50,113.77,112.16,104.19,104.91,662.01,108.02
137.24,228.04,712.84,114.23,328.34,104.70,104.23,619.36,114.79
134.35,244.27,524.10,115.47,117.06,103.25,103.31,691.63,108.71
133.09,230.46,518.83,121.23,112.94,104.97,104.76,877.98,111.96
145.69,233.40,524.70,118.68,111.29,104.50,104.66,667.04,107.66
134.95,223.34,522.10,115.47,112.25,105.81,104.71,895.69,120.92
133.86,423.57,523.93,116.73,113.37,103.64,102.89,670.29,108.86
134.06,232.85,520.40,117.07,112.15,103.53,110.88,586.84,113.28
138.20,220.45,706.50,119.98,117.84,111.91,103.84,745.81,108.51
146.85,221.67,519.74,113.83,112.96,104.84,106.18,715.73,112.45
149.92,234.14,524.07,118.94,112.29,103.59,104.83,984.38,107.68
147.61,222.02,520.61,114.35,112.81,105.41,104.74,686.70,111.90
132.51,220.87,520.60,344.87,112.89,105.09,106.28,640.82,107.53
156.69,221.75,529.31,114.55,112.30,105.72,107.98,637.18,111.94
137.13,235.03,800.14,113.97,112.30,103.52,104.95,700.10,117.44
137.86,225.93,740.06,112.59,111.33,105.08,103.31,688.17,113.49
131.37,221.78,535.35,111.89,113.58,104.57,111.09,698.38,111.53
141.54,220.28,533.40,112.34,119.36,109.09,106.29,2575.39,109.17
142.12,216.13,547.47,117.77,114.11,298.97,106.28,750.20,113.75
184.00,233.56,521.81,112.96,114.82,152.59,106.52,703.04,107.96
141.10,217.76,535.43,112.85,112.51,123.62,106.50,636.15,112.00
132.92,219.70,519.33,112.02,112.29,106.03,106.38,684.92,112.54
138.93,220.02,753.26,112.20,113.39,105.67,107.44,754.76,111.82
133.45,448.94,528.97,114.02,113.28,106.00,107.30,725.05,125.31
138.61,233.46,516.51,113.46,111.68,105.30,111.94,725.95,110.34
336.21,224.26,520.65,115.32,113.26,114.44,105.53,870.02,113.50
133.47,220.21,521.83,112.77,118.88,104.72,355.77,1218.49,108.68
135.69,228.76,526.18,116.72,112.86,106.71,106.34,896.21,112.20
132.55,220.21,532.83,113.71,113.75,104.39,103.72,664.97,108.75
133.20,220.55,673.40,114.24,112.82,104.06,104.52,680.61,114.19
131.21,223.29,520.53,113.22,114.06,104.98,103.59,605.32,109.04
154.40,244.03,523.77,114.66,116.68,105.12,105.74,611.54,112.50
136.73,308.35,517.67,112.48,111.23,104.61,106.94,596.88,115.04
137.91,247.54,521.70,111.79,116.29,106.18,109.21,723.61,114.63
871.38,241.58,519.27,113.98,333.32,112.90,105.43,596.51,108.44
140.82,247.19,538.05,113.46,119.66,106.40,104.65,609.95,112.02
114.14,257.01,720.51,117.74,113.28,108.74,105.04,717.37,108.71
109.53,357.96,526.32,114.88,112.23,105.21,103.98,747.55,112.72
109.03,281.89,526.03,115.20,112.65,106.49,103.78,662.89,111.35
108.97,248.38,520.69,113.04,114.17,107.27,102.66,1338.03,109.88
118.39,245.94,522.00,113.80,111.38,106.79,103.82,1140.37,115.08
128.96,246.15,516.28,116.24,118.14,105.50,104.61,885.67,111.65
122.78,252.96,521.43,112.84,113.58,106.33,109.68,619.77,116.94
117.35,230.97,516.49,115.15,113.62,113.18,104.33,596.19,108.66
120.90,224.23,696.96,112.77,114.57,108.58,104.26,862.13,111.47
114.61,225.31,519.13,346.20,112.46,105.87,104.52,610.09,109.05
125.33,223.08,519.41,115.76,112.79,106.05,103.74,603.29,111.72
114.57,524.63,524.53,114.16,113.14,104.84,104.45,875.56,107.82
112.81,568.67,518.31,114.49,113.78,104.86,101.98,777.75,112.80
116.38,272.71,520.88,113.16,113.97,108.25,103.56,807.54,109.73
117.84,240.24,515.29,112.17,118.43,104.47,102.79,594.89,111.61
110.25,239.39,712.22,119.47,113.72,104.21,106.66,599.64,113.11
107.11,243.35,519.06,114.14,112.58,105.52,112.44,1348.06,108.92
111.00,239.69,525.15,116.20,113.38,296.83,107.44,744.06,355.67
