mac_1,mac_2,mac_3,mac_4,mac_5,mac_6,mac_7,mac_8,mac_9
18558.00,18460.60,18449.20,18508.40,18542.00,18555.80,18561.50,91.50,18440.80
18501.20,18738.50,18424.90,18521.10,18482.10,18470.30,18590.50,93.30,18418.40
18634.10,18689.70,18548.50,18564.70,18553.30,18541.40,18554.30,92.00,18481.60
18591.50,18637.10,18566.20,18663.70,18753.60,18502.10,18533.20,90.10,18606.60
18539.10,18588.70,18513.00,18513.80,18592.80,18457.30,18661.90,89.90,18546.30
18535.50,18463.10,18527.90,18747.50,18635.80,18465.10,18467.20,91.70,18589.40
18545.00,18470.10,18376.60,18595.30,18487.80,18689.90,18503.60,94.10,18776.60
19360.50,18531.70,18446.70,18641.80,18496.40,18648.20,18621.00,91.20,18555.90
21544.00,18440.30,18517.70,18771.00,18579.00,18583.60,19439.50,91.10,18553.00
18687.10,18429.50,18537.60,18582.40,18427.70,18532.90,18539.50,91.30,19120.80
21805.60,19300.30,18491.00,18583.90,18420.90,18484.50,18484.90,90.10,18543.20
20879.90,18652.70,18608.70,18529.40,18391.90,18469.80,18468.40,90.00,18479.00
18728.80,18484.20,41932.90,18593.70,18406.30,18560.90,18480.00,90.30,18459.70
18758.70,18453.50,26701.00,18581.40,18407.00,18651.40,18485.70,91.10,18504.00
18708.10,18410.00,18549.00,18660.90,18400.10,18497.50,18439.80,90.20,18451.00
18740.70,18475.20,18581.70,19107.90,18643.60,18496.70,18496.00,90.00,18572.30
18931.20,18505.70,18564.80,18480.50,18556.90,18598.50,18473.00,89.60,18628.40
18617.30,18494.50,18529.50,18422.50,18521.00,18564.40,18462.20,95.10,18607.80
18784.60,18452.50,18504.90,19209.50,18503.90,18701.90,18660.90,90.10,18587.20
18689.60,18443.60,18540.60,19096.10,18523.10,18476.10,18470.60,89.30,18495.50
18571.30,18427.10,18542.60,19014.70,18461.70,18469.10,18526.20,89.00,18687.40
18542.10,18447.20,18546.50,18684.50,18403.80,18469.20,18459.60,90.00,18423.90
18663.80,18545.90,18556.40,18401.40,18371.80,18489.70,18581.10,92.70,18393.00
18540.80,18536.60,18560.80,18507.40,18401.50,21833.20,18584.80,89.80,18386.50
18525.90,18472.10,18516.10,18607.30,18352.20,18443.20,18494.40,89.90,18402.20
18585.50,18416.50,18579.70,18547.60,18368.30,18400.10,18481.50,90.70,18414.20
18479.40,18432.70,18422.50,18543.90,18475.40,18701.40,18475.90,91.60,18376.60
18487.40,18403.00,18429.50,18633.30,18784.00,18923.80,18449.20,90.20,18377.10
18518.30,18470.40,18686.20,18580.80,18534.70,18951.90,18495.80,93.90,18403.00
18535.90,18491.70,18560.50,18548.50,18895.80,18446.90,18439.00,91.30,18366.00
18511.70,18461.90,18525.00,18540.50,18499.70,18419.30,18441.10,89.80,18397.30
18463.20,18529.30,18383.50,18506.70,19451.80,18445.40,18792.10,89.50,18389.60
18467.20,18434.20,18536.80,18546.00,18518.20,18542.60,18560.90,89.00,18402.90
18492.10,18411.10,18441.30,18404.80,18490.10,18748.50,18510.70,90.50,18390.00
18589.80,18393.10,18382.00,18643.00,18743.20,18684.20,18493.50,89.60,18526.90
18510.50,18382.60,18413.60,18474.90,18453.60,18683.10,18430.70,89.40,18507.60
18635.30,18372.50,18392.60,18447.50,18549.50,18560.70,18563.30,89.80,18465.40
18747.40,18402.80,18398.00,18459.30,18473.10,18578.30,18415.50,90.60,18478.30
18712.70,18374.40,18376.00,18450.90,18526.70,18491.10,18463.90,90.30,18459.80
18534.10,18391.80,19094.80,18530.80,21679.20,18623.50,18413.50,93.30,18448.90
18521.00,18381.80,18472.60,18484.00,18544.20,18643.50,18588.90,90.30,18412.10
18521.80,18387.00,18614.30,18409.30,18444.20,18624.90,18515.20,91.50,18440.70
18470.50,18397.40,18637.30,18657.90,18415.10,18493.60,18841.30,90.10,18391.70
19032.30,18373.80,18416.40,18774.20,18380.20,18452.80,18951.00,90.40,18418.90
19022.80,18378.30,18495.50,18512.30,19464.00,18495.20,19130.90,90.60,18418.00
18545.70,18375.80,18426.30,18428.30,18619.90,18473.10,18443.30,91.30,18406.90
18553.30,18685.30,18434.20,18411.60,18471.30,18445.90,18407.00,89.60,18501.00
18468.10,18606.20,18431.90,18632.40,18397.80,18428.30,18756.60,102.30,18494.20
18484.60,18553.20,18401.00,18523.80,18429.20,18437.40,19011.60,90.50,18425.60
18491.50,18597.50,18448.00,18452.30,18554.00,18650.70,18504.60,90.70,18656.10
18446.50,18677.90,18409.10,18498.10,18454.50,18599.30,19223.10,169.70,18465.70
18536.50,18608.10,19297.30,18519.40,19063.20,18457.00,19074.00,122.00,18508.70
18462.90,18580.30,20897.40,18491.60,18433.90,18472.30,18429.60,106.60,18469.00
18468.30,18460.50,18444.80,18466.10,18416.20,19112.60,18412.00,102.30,18433.10
18493.80,18424.80,18408.70,18444.00,18413.70,18546.40,18429.40,96.30,18461.80
18489.90,18551.40,18397.70,18577.10,18382.50,18551.70,18375.50,94.50,18445.60
18458.70,18879.00,18397.90,18512.90,18333.30,18490.60,18380.70,93.00,18668.10
18441.90,18586.10,18376.60,18544.40,18366.60,18461.90,18365.10,93.00,18834.90
